department,section,semester,group,course,session_type,day,start,end,room,faculty
cse,c,4,all,AEI2205,lecture,monday,09:00,10:00,ICT308,DMG
cse,c,4,all,CSE2202,lecture,monday,10:00,11:00,ICT308,DS
cse,c,4,all,MTH2201,lecture,monday,11:00,12:00,ICT308,SK
cse,c,4,1,CSE2252,lab,monday,13:00,15:00,ICTB10,AD+SA
cse,c,4,2,CSE2251,lab,monday,13:00,15:00,ICTB11,NGB+SMK
cse,c,4,all,Life Skills (Lateral),life skills,monday,16:00,17:00,ICT207,BB
cse,c,4,all,CSE2201,lecture,tuesday,09:00,10:00,ICT312,NGB
cse,c,4,all,CSE2202,lecture,tuesday,10:00,11:00,ICT312,DS
cse,c,4,all,CSE2201,lecture,tuesday,11:00,12:00,ICT312,SM
cse,c,4,all,MTH2201,lecture,tuesday,13:00,14:00,ICT308,SK
cse,c,4,all,CSE2202,lecture,tuesday,14:00,15:00,ICT308,DS
cse,c,4,all,MTH2201,lecture,tuesday,15:00,16:00,ICT308,SD
cse,c,4,all,AEI2205,lecture,tuesday,16:00,17:00,ICT308,DMG
cse,c,4,all,Remedial,remedial,tuesday,17:00,18:00,ICT308,-
cse,c,4,1,CSE2254,lab,wednesday,09:00,11:00,ICTB02,TNB+DSG
cse,c,4,2,AEIE2255,lab,wednesday,09:00,11:00,ICT002,DMG+SMC
cse,c,4,all,CSE2203,lecture,wednesday,11:00,12:00,ICT311,SDB
cse,c,4,all,MTH2201,lecture,wednesday,13:00,14:00,ICT308,SD
cse,c,4,1,CSE2253,lab,wednesday,14:00,16:00,ICTB09,SC+DSS
cse,c,4,2,Library,library,wednesday,14:00,15:00,Library,-
cse,c,4,2,CSE2254,lab,wednesday,15:00,16:00,ICTB11,ABS+DC
cse,c,4,1,AEIE2255,lab,thursday,09:00,11:00,ICT002,SMP+KM
cse,c,4,1,Library,library,thursday,11:00,12:00,Library,-
cse,c,4,2,CSE2252,lab,thursday,09:00,12:00,ICTB10,SHS+DSS
cse,c,4,all,CSE2202,lecture,thursday,13:00,14:00,ICT312,DS
cse,c,4,all,CSE2201,lecture,thursday,14:00,15:00,ICT312,NGB
cse,c,4,all,CSE2203,lecture,thursday,15:00,16:00,ICT312,SDB
cse,c,4,all,AEI2205,lecture,thursday,16:00,17:00,ICT312,DMG
cse,c,4,1,CSE2251,lab,friday,09:00,12:00,ICTB11,NGB+SSN
cse,c,4,2,CSE2253,lab,friday,09:00,12:00,ICTB10,SA+SKD
cse,c,4,all,CSE2201,lecture,friday,13:00,14:00,ICT312,NGB
cse,c,4,all,CSE2203,lecture,friday,14:00,15:00,ICT312,SDB
cse,c,4,all,Mentoring,mentoring,friday,15:00,16:00,-,-
cse,c,4,all,CSE2203,lecture,friday,16:00,17:00,ICT312,SDB
